seq_id	seq_name	common_name_selection_status	common_taxonomy	common_rank	matched_sequence	similarity_percentage
61875_97	OTU2478	case-1	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Myrtales;f__Melastomataceae;g__Monochaetum;s__Monochaetum_uribei	7	https://app.plutof.ut.ee/sequence/view/1301571	100.0
61875_49	OTU15245	case-1	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;s__Podila_humilis	7	https://app.plutof.ut.ee/sequence/view/177116	100.0
61875_90	OTU18311	case-5	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae	5	https://app.plutof.ut.ee/sequence/view/9004802	100.0
61875_1	OTU1	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332685	100.0
61875_83	OTU18463	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1411968	96.1
61875_61	OTU16223	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1383680	98.7
61875_8	OTU18163	case-5	k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Asparagales;f__Iridaceae;g__Orthrosanthus	6	https://app.plutof.ut.ee/sequence/view/1272113	97.6
61875_12	OTU2310	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1411977	100.0
61875_2	OTU13615	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332679	100.0
61875_59	OTU15934	case-5	k__Viridiplantae;p__Anthophyta;c__Monocotyledonae	3	https://app.plutof.ut.ee/sequence/view/1151662	100.0
61875_21	OTU9362	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/12261923	99.1
61875_88	OTU17950	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/577587	86.8
61875_3	OTU14390	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/12261923	100.0
61875_4	OTU15169	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332679	99.1
61875_5	OTU15933	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332679	99.1
61875_98	OTU18622	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332682	98.2
61875_95	OTU80	case-5	k__Viridiplantae;p__Anthophyta;c__Monocotyledonae	3	https://app.plutof.ut.ee/sequence/view/1151812	99.1
61875_44	OTU14316	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/11463101	96.7
61875_69	OTU16824	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/11461785	89.1
