seq_id	seq_name	common_name_selection_status	common_taxonomy	common_rank	matched_sequence	similarity_percentage
61876_99	OTU2537	case-1	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Myrtales;f__Melastomataceae;g__Monochaetum;s__Monochaetum_uribei	7	https://app.plutof.ut.ee/sequence/view/1301571	100.0
61876_49	OTU15189	case-1	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;s__Podila_humilis	7	https://app.plutof.ut.ee/sequence/view/177116	100.0
61876_92	OTU18322	case-5	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae	5	https://app.plutof.ut.ee/sequence/view/9004802	100.0
61876_85	OTU18475	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1411968	96.1
61876_63	OTU16238	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1383680	98.7
61876_8	OTU18171	case-5	k__Viridiplantae;p__Anthophyta;c__Monocotyledonae;o__Asparagales;f__Iridaceae;g__Orthrosanthus	6	https://app.plutof.ut.ee/sequence/view/1272113	97.6
61876_1	OTU1	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332685	100.0
61876_12	OTU2314	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1411977	100.0
61876_20	OTU9249	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/12261923	99.1
61876_3	OTU14414	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/12261923	100.0
61876_51	OTU15114	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332679	99.1
61876_4	OTU15188	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332679	99.1
61876_89	OTU18024	case-5	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales	4	https://app.plutof.ut.ee/sequence/view/577587	86.8
61876_2	OTU13633	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332679	100.0
61876_39	OTU14191	case-5	k__Viridiplantae;p__Anthophyta;c__Eudicotyledonae;o__Ericales	4	https://app.plutof.ut.ee/sequence/view/1332679	100.0
